Variable;Min;Max;unit;source;actual_value;definition
reproduction|yield_formation|oil_content;0.125;0.375;;;0.25;
biomass|male|fraction_biomass_first_male;0.15;0.44999999999999996;;;0.3;
mass_and_dimensions|roots|RL0;2.5;7.5;m;;5.0;root length at emergence
dimensions|leaf|slope;50.0;150.0;;;100.0;
reproduction|yield_formation|stalk_max_biomass;1050.0;3150.0;;;2100.0;
respiration|RootSystem|Gi;0.035;0.10500000000000001;;;0.07;
phyllochron|age_palm_maturity;1460.0;4380.0;days;;2920.0;age of the palm maturity
carbon_demand|internode|apparent_density;150000.0;450000.0; g m-3;;300000.0;
respiration|RootSystem|Prot;3.125;9.375;;;6.25;
respiration|RootSystem|P_alive;0.4;1.2000000000000002;;;0.8;
phenology|female|TT_harvest;6075.0;18225.0;;;12150.0;
respiration|RootSystem|T_ref;12.5;37.5;;;25.0;
carbon_demand|male|respiration_cost;0.72;2.16;;;1.44;
dimensions|leaf|age_first_mature_leaf;1460.0;4380.0;days;;2920.0;age of the first mature leaf
phenology|female|days_increase_number_fruits;1189.5;3568.5;;;2379.0;
phyllochron|threshold_ftsw_stress;0.15;0.44999999999999996;;;0.3;
water|Kc;0.5;1.5;;;1.0;
reproduction|abortion|random_seed;0.5;1.5;;;1.0;
respiration|Leaf|P_alive;0.45;1.35;;;0.9;
phenology|female|days_maximum_number_fruits;3250.0;9750.0;;;6500.0;
reproduction|yield_formation|potential_fruit_weight_at_maturity;3.25;9.75;;;6.5;
respiration|Male|Mr;0.00605;0.01815;;;0.0121;
dimensions|internode|inflexion_point_radius;450.0;1350.0;;;900.0;
water|wilting_point_2;0.025;0.07500000000000001;;;0.05;
water|field_capacity;0.125;0.375;;;0.25;
phenology|male|age_mature_male;1460.0;4380.0;;;2920.0;
respiration|Female|Mr;0.0011;0.0033;;;0.0022;
management|rank_leaf_pruning;25.0;75.0;;;50.0;
phenology|inflorescence|duration_sex_determination;675.0;2025.0;;;1350.0;
respiration|Internode|T_ref;12.5;37.5;;;25.0;
dimensions|internode|age_max_radius;1460.0;4380.0;;;2920.0;
radiation|threshold_ftsw;0.0;1.0;;;0.3;
water|transpiration_threshold;0.25;0.75;;;0.5;
dimensions|leaf|leaf_area_first_leaf;0.01;0.03;days;;0.02;
biomass_dry|Leaf;1.0;3.0;;;2.0;
biomass|male|max_biomass;87.426;262.278;;;174.852;
dimensions|internode|slope_radius;75.0;225.0;;;150.0;
water|evaporation_threshold;0.25;0.75;;;0.5;
dimensions|internode|max_height;0.015;0.045;;;0.03;
water|thickness_2;1000.0;3000.0;;;2000.0;
radiation|k;0.25;0.75;;;0.5;
biomass_dry|Internode;1.0;3.0;;;2.0;
reproduction|abortion|abortion_rate_ref;0.1;0.30000000000000004;;;0.2;
respiration|Male|Q10;1.05;3.1500000000000004;;;2.1;
respiration|Internode|P_alive;0.105;0.315;;;0.21;
respiration|Male|T_ref;12.5;37.5;;;25.0;
reproduction|sex_ratio|sex_ratio_ref;0.3;0.8999999999999999;;;0.6;
water|wilting_point_1;0.025;0.07500000000000001;;;0.05;
carbon_demand|internode|carbon_concentration;0.25;0.75;g g-1;;0.5;
plot|altitude;25.0;75.0;;;50.0;
dimensions|leaf|inflexion_index;168.75;506.25;;;337.5;
dimensions|leaf|leaf_area_mature_leaf;6.0;18.0;days;;12.0;
respiration|RootSystem|N;0.004;0.012;;;0.008;
phenology|female|duration_dev_spikelets;337.5;1012.5;;;675.0;
phyllochron|production_speed_initial;0.00555;0.01665;leaf.day-1.degreeC-1;;0.0111;initial production speed
plot|scene_area;36.76470588235294;110.29411764705883;;;73.52941176470588;
phenology|female|duration_fruit_setting;202.5;607.5;;;405.0;
respiration|Female|T_ref;12.5;37.5;;;25.0;
carbon_demand|leaf|respiration_cost;0.72;2.16;;;1.44;
water|ini_root_depth;50.0;150.0;;;100.0;
respiration|Male|P_alive;0.25;0.75;;;0.5;
dimensions|internode|slope_height;75.0;225.0;;;150.0;
mass_and_dimensions|leaf|lma_min;40.0;120.0;g m?²;;80.0;minimum leaf mass area
phenology|female|fraction_period_oleosynthesis;0.0;1.0;;prev xpalm;0.8;
carbon_demand|reserves|cost_reserve_mobilization;0.8335;2.5005;;;1.667;
plot|latitude;0.485;1.455;;;0.97;
phenology|male|duration_flowering_male;900.0;2700.0;;;1800.0;
water|initial_water_content;0.125;0.375;;;0.25;
respiration|Female|Q10;1.05;3.1500000000000004;;;2.1;
carbon_demand|female|respiration_cost;0.72;2.16;g g?¹;;1.44;
respiration|Internode|Mr;0.0025;0.0075;;;0.005;
dimensions|internode|min_height;0.001;0.003;;;0.002;
mass_and_dimensions|roots|SRL;0.2;0.6000000000000001;;;0.4;
biomass_dry|RootSystem;6.25;18.75;;;12.5;
carbon_demand|internode|respiration_cost;0.72;2.16;;;1.44;
reserves|nsc_max;0.15;0.44999999999999996;;;0.3;Maximum non-structural carbohydrates content in the stem
phenology|inflorescence|TT_flowering;5265.0;15795.0;;;10530.0;
water|thickness_1;100.0;300.0;;;200.0;
radiation|RUE;2.4;7.199999999999999;gC MJ[PAR]-1;;4.8;radiation use efficiency
respiration|Female|P_alive;0.25;0.75;;;0.5;
respiration|Leaf|Q10;1.05;3.1500000000000004;;;2.1;
respiration|Leaf|Mr;0.001797185430463576;0.005391556291390728;;;0.003594370860927152;
dimensions|internode|min_radius;0.001;0.003;;;0.002;
reproduction|sex_ratio|sex_ratio_min;0.1;0.30000000000000004;;;0.2;
dimensions|internode|max_radius;0.15;0.44999999999999996;;;0.3;
respiration|Leaf|T_ref;12.5;37.5;;;25.0;
phenology|inflorescence|duration_abortion;270.0;810.0;;;540.0;
phenology|female|fraction_period_stalk;0.1;0.30000000000000004;;;0.2;
respiration|Internode|Q10;0.85;2.55;;;1.7;
biomass|leaf|leaflets_biomass_contribution;0.175;0.5249999999999999;;;0.35;
reproduction|abortion|abortion_rate_max;0.4;1.2000000000000002;;;0.8;
respiration|RootSystem|Mx;0.0025;0.0075;;;0.005;
reproduction|yield_formation|potential_fruit_number_at_maturity;1000.0;3000.0;;;2000.0;
carbon_demand|female|respiration_cost_oleosynthesis;1.6;4.800000000000001;;;3.2;
reproduction|sex_ratio|random_seed;0.5;1.5;;;1.0;
reproduction|yield_formation|fraction_first_female;0.15;0.44999999999999996;;;0.3;
phyllochron|production_speed_mature;0.0037;0.0111;leaf.day-1.degreeC-1;;0.0074;production speed at maturity
dimensions|internode|inflexion_point_height;450.0;1350.0;;;900.0;
mass_and_dimensions|leaf|lma_max;100.0;300.0;g m-2;;200.0;
dimensions|internode|age_max_height;1460.0;4380.0;;;2920.0;
biomass_dry|Stem;0.05;0.15000000000000002;;;0.1;
respiration|RootSystem|Turn;0.018;0.05399999999999999;;;0.036;
respiration|RootSystem|Q10;1.05;3.1500000000000004;;;2.1;
